period,destination_code,destination_iso,destination,export_value_usd,month,year
202301,862,VEN,Venezuela,87125.0,2023-01-01,2023
202301,887,YEM,Yemen,6317.0,2023-01-01,2023
202301,894,ZMB,Zambia,63597.0,2023-01-01,2023
202301,899,_X ,"Areas, nes",158851.0,2023-01-01,2023
202302,4,AFG,Afghanistan,301565.0,2023-02-01,2023
202302,8,ALB,Albania,250.0,2023-02-01,2023
202302,12,DZA,Algeria,8402889.0,2023-02-01,2023
202302,24,AGO,Angola,15131.0,2023-02-01,2023
202302,32,ARG,Argentina,2659503.0,2023-02-01,2023
202302,36,AUS,Australia,21579293.0,2023-02-01,2023
202302,40,AUT,Austria,25067991.0,2023-02-01,2023
202302,44,BHS,Bahamas,95723.0,2023-02-01,2023
202302,48,BHR,Bahrain,12568.0,2023-02-01,2023
202302,50,BGD,Bangladesh,4072271.0,2023-02-01,2023
202302,52,BRB,Barbados,65491.0,2023-02-01,2023
202302,56,BEL,Belgium,132875776.0,2023-02-01,2023
202302,68,BOL,Bolivia (Plurinational State of),302923.0,2023-02-01,2023
202302,70,BIH,Bosnia Herzegovina,8928.0,2023-02-01,2023
202302,72,BWA,Botswana,177656.0,2023-02-01,2023
202302,76,BRA,Brazil,26868549.0,2023-02-01,2023
202302,96,BRN,Brunei Darussalam,179160.0,2023-02-01,2023
202302,100,BGR,Bulgaria,2393941.0,2023-02-01,2023
202302,104,MMR,Myanmar,1590577.0,2023-02-01,2023
202302,108,BDI,Burundi,91042.0,2023-02-01,2023
202302,112,BLR,Belarus,416962.0,2023-02-01,2023
202302,116,KHM,Cambodia,1028664.0,2023-02-01,2023
202302,120,CMR,Cameroon,253650.0,2023-02-01,2023
202302,124,CAN,Canada,4062748.0,2023-02-01,2023
202302,144,LKA,Sri Lanka,194974.0,2023-02-01,2023
202302,148,TCD,Chad,1767102.0,2023-02-01,2023
202302,152,CHL,Chile,30334819.0,2023-02-01,2023
202302,170,COL,Colombia,2831290.0,2023-02-01,2023
202302,178,COG,Congo,3980.0,2023-02-01,2023
202302,180,COD,Dem. Rep. of the Congo,1358558.0,2023-02-01,2023
202302,188,CRI,Costa Rica,431105.0,2023-02-01,2023
202302,191,HRV,Croatia,223764.0,2023-02-01,2023
202302,196,CYP,Cyprus,7520.0,2023-02-01,2023
202302,203,CZE,Czechia,102896975.0,2023-02-01,2023
202302,204,BEN,Benin,206831.0,2023-02-01,2023
202302,208,DNK,Denmark,3225000.0,2023-02-01,2023
202302,212,DMA,Dominica,282.0,2023-02-01,2023
202302,214,DOM,Dominican Rep.,1208945.0,2023-02-01,2023
202302,218,ECU,Ecuador,41957.0,2023-02-01,2023
202302,222,SLV,El Salvador,169781.0,2023-02-01,2023
202302,226,GNQ,Equatorial Guinea,276038.0,2023-02-01,2023
202302,231,ETH,Ethiopia,1646359.0,2023-02-01,2023
202302,232,ERI,Eritrea,15162.0,2023-02-01,2023
202302,233,EST,Estonia,204491.0,2023-02-01,2023
202302,242,FJI,Fiji,2516.0,2023-02-01,2023
202302,246,FIN,Finland,31078424.0,2023-02-01,2023
202302,251,FRA,France,27918720.0,2023-02-01,2023
202302,258,PYF,French Polynesia,18763.0,2023-02-01,2023
202302,262,DJI,Djibouti,2073048.0,2023-02-01,2023
202302,270,GMB,Gambia,1641.0,2023-02-01,2023
202302,275,PSE,State of Palestine,4702.0,2023-02-01,2023
202302,276,DEU,Germany,764343645.0,2023-02-01,2023
202302,288,GHA,Ghana,338056.0,2023-02-01,2023
202302,300,GRC,Greece,982355.0,2023-02-01,2023
202302,308,GRD,Grenada,15400.0,2023-02-01,2023
202302,320,GTM,Guatemala,845587.0,2023-02-01,2023
202302,324,GIN,Guinea,9734.0,2023-02-01,2023
202302,328,GUY,Guyana,11441.0,2023-02-01,2023
202302,332,HTI,Haiti,5900.0,2023-02-01,2023
202302,340,HND,Honduras,230886.0,2023-02-01,2023
202302,344,HKG,"China, Hong Kong SAR",94284737.0,2023-02-01,2023
202302,348,HUN,Hungary,93376154.0,2023-02-01,2023
202302,352,ISL,Iceland,90527.0,2023-02-01,2023
202302,360,IDN,Indonesia,23144393.0,2023-02-01,2023
202302,364,IRN,Iran,305111.0,2023-02-01,2023
202302,368,IRQ,Iraq,1171770.0,2023-02-01,2023
202302,372,IRL,Ireland,668428.0,2023-02-01,2023
202302,376,ISR,Israel,12228063.0,2023-02-01,2023
202302,380,ITA,Italy,85640248.0,2023-02-01,2023
202302,384,CIV,Côte d'Ivoire,267511.0,2023-02-01,2023
202302,388,JAM,Jamaica,428854.0,2023-02-01,2023
202302,392,JPN,Japan,165777753.0,2023-02-01,2023
202302,398,KAZ,Kazakhstan,2556092.0,2023-02-01,2023
202302,400,JOR,Jordan,589839.0,2023-02-01,2023
202302,404,KEN,Kenya,1881173.0,2023-02-01,2023
202302,410,KOR,Rep. of Korea,641374393.0,2023-02-01,2023
202302,414,KWT,Kuwait,70139.0,2023-02-01,2023
202302,417,KGZ,Kyrgyzstan,193000.0,2023-02-01,2023
202302,418,LAO,Lao People's Dem. Rep.,249782.0,2023-02-01,2023
202302,422,LBN,Lebanon,2022511.0,2023-02-01,2023
202302,428,LVA,Latvia,21058.0,2023-02-01,2023
202302,430,LBR,Liberia,2701.0,2023-02-01,2023
202302,434,LBY,Libya,254834.0,2023-02-01,2023
202302,440,LTU,Lithuania,535641.0,2023-02-01,2023
202302,442,LUX,Luxembourg,13032.0,2023-02-01,2023
202302,446,MAC,"China, Macao SAR",38911.0,2023-02-01,2023
202302,450,MDG,Madagascar,2061192.0,2023-02-01,2023
202302,454,MWI,Malawi,220874.0,2023-02-01,2023
202302,458,MYS,Malaysia,21812142.0,2023-02-01,2023
202302,466,MLI,Mali,73268.0,2023-02-01,2023
202302,470,MLT,Malta,22297.0,2023-02-01,2023
202302,473,A79,"LAIA, nes",164035.0,2023-02-01,2023
202302,478,MRT,Mauritania,6846.0,2023-02-01,2023
202302,480,MUS,Mauritius,8733.0,2023-02-01,2023
202302,484,MEX,Mexico,35139300.0,2023-02-01,2023
202302,490,S19,"Other Asia, nes",25547835.0,2023-02-01,2023
202302,496,MNG,Mongolia,1033.0,2023-02-01,2023
202302,499,MNE,Montenegro,7204.0,2023-02-01,2023
202302,504,MAR,Morocco,2411092.0,2023-02-01,2023
202302,508,MOZ,Mozambique,1738646.0,2023-02-01,2023
202302,512,OMN,Oman,8638.0,2023-02-01,2023
202302,516,NAM,Namibia,263262.0,2023-02-01,2023
202302,524,NPL,Nepal,1107228.0,2023-02-01,2023
202302,528,NLD,Netherlands,343401959.0,2023-02-01,2023
202302,531,CUW,Curaçao,16149.0,2023-02-01,2023
202302,540,NCL,New Caledonia,32855.0,2023-02-01,2023
202302,554,NZL,New Zealand,1215925.0,2023-02-01,2023
202302,566,NGA,Nigeria,10716088.0,2023-02-01,2023
202302,579,NOR,Norway,2462804.0,2023-02-01,2023
202302,586,PAK,Pakistan,1265497.0,2023-02-01,2023
202302,591,PAN,Panama,3193930.0,2023-02-01,2023
202302,598,PNG,Papua New Guinea,29230.0,2023-02-01,2023
202302,600,PRY,Paraguay,228067.0,2023-02-01,2023
202302,604,PER,Peru,2921491.0,2023-02-01,2023
202302,608,PHL,Philippines,8678839.0,2023-02-01,2023
202302,616,POL,Poland,68577251.0,2023-02-01,2023
202302,620,PRT,Portugal,8483420.0,2023-02-01,2023
202302,634,QAT,Qatar,13363.0,2023-02-01,2023
202302,642,ROU,Romania,2730608.0,2023-02-01,2023
202302,643,RUS,Russian Federation,18463197.0,2023-02-01,2023
202302,662,LCA,Saint Lucia,248.0,2023-02-01,2023
202302,682,SAU,Saudi Arabia,517186.0,2023-02-01,2023
202302,686,SEN,Senegal,263214.0,2023-02-01,2023
202302,688,SRB,Serbia,122598.0,2023-02-01,2023
202302,699,IND,India,186241623.0,2023-02-01,2023
202302,702,SGP,Singapore,7760642.0,2023-02-01,2023
202302,703,SVK,Slovakia,96125264.0,2023-02-01,2023
202302,704,VNM,Viet Nam,198927999.0,2023-02-01,2023
202302,705,SVN,Slovenia,45295456.0,2023-02-01,2023
