destination_code,destination,2023,2024,growth_2024,export_share_2024,export_increment_2024
729,Sudan,5818828.0,3747528.0,-0.3559651531201816,6.13073229242166e-05,-2071300.0
706,Somalia,5693598.0,3685855.0,-0.35263167508489357,6.029838942813459e-05,-2007743.0
646,Rwanda,3631498.0,3418235.0,-0.05872590319476978,5.5920285845992214e-05,-213263.0
598,Papua New Guinea,4001871.0,3024010.0,-0.2443509548408732,4.947099997546655e-05,-977861.0
762,Tajikistan,4570838.0,3013623.0,-0.34068479346675595,4.930107485063391e-05,-1557215.0
24,Angola,2519493.0,2960042.0,0.17485621115041794,4.842452164820221e-05,440549.0
634,Qatar,2537423.0,2949276.0,0.1623115263005026,4.824839630941832e-05,411853.0
899,"Areas, nes",3893207.0,2944608.0,-0.2436549096927032,4.817203061357556e-05,-948599.0
760,Syria,1850053.0,2860345.0,0.5460881390965555,4.6793538190953694e-05,1010292.0
788,Tunisia,2816798.0,2787529.0,-0.010390876449074438,4.560231186094369e-05,-29269.0
558,Nicaragua,3168787.0,2683688.0,-0.15308665429389856,4.3903535035320616e-05,-485099.0
446,"China, Macao SAR",617191.0,2658752.0,3.3078269125764956,4.3495596948016595e-05,2041561.0
178,Congo,850981.0,2625716.0,2.085516597902891,4.2955147691833736e-05,1774735.0
68,Bolivia (Plurinational State of),4868713.0,2548218.0,-0.4766136348558644,4.168732663433105e-05,-2320495.0
4,Afghanistan,2386507.0,2533001.0,0.061384274171414566,4.143838559027806e-05,146494.0
520,Nauru,,2349396.0,,3.843471729867336e-05,
222,El Salvador,1900140.0,2253045.0,0.18572578862610123,3.68584724057543e-05,352905.0
196,Cyprus,1195891.0,2043927.0,0.7091248282661213,3.34374266509884e-05,848036.0
266,Gabon,1580734.0,2029572.0,0.283942775950919,3.320258741280869e-05,448838.0
72,Botswana,1793823.0,1995196.0,0.11225912478544431,3.264021655584835e-05,201373.0
430,Liberia,2129612.0,1992726.0,-0.06427743645321304,3.259980882904209e-05,-136886.0
807,North Macedonia,459876.0,1817145.0,2.951380372100305,2.9727408391645258e-05,1357269.0
454,Malawi,3654930.0,1808585.0,-0.5051656256070567,2.9587371897126392e-05,-1846345.0
174,Comoros,314.0,1769636.0,5634.783439490446,2.895018948766199e-05,1769322.0
270,Gambia,2481205.0,1666977.0,-0.3281582940547033,2.727074947705309e-05,-814228.0
242,Fiji,1148283.0,1658628.0,0.4444418318480723,2.7134164816686498e-05,510345.0
426,Lesotho,49946.0,1577600.0,30.586113002042204,2.5808595064598343e-05,1527654.0
232,Eritrea,2931925.0,1536860.0,-0.47581878799764665,2.514211296334851e-05,-1395065.0
624,Guinea-Bissau,136186.0,1386295.0,9.179423729311383,2.2678959365540923e-05,1250109.0
70,Bosnia Herzegovina,1201474.0,1339436.0,0.11482728714895196,2.1912374073875093e-05,137962.0
212,Dominica,251467.0,1257534.0,4.000791356321108,2.0572506203070877e-05,1006067.0
562,Niger,1004927.0,1124151.0,0.11863946336400555,1.8390439877322065e-05,119224.0
352,Iceland,708591.0,1095785.0,0.5464280522896847,1.792638903578911e-05,387194.0
540,New Caledonia,8644196.0,1075909.0,-0.8755339420809061,1.7601229530525442e-05,-7568287.0
84,Belize,319328.0,1001429.0,2.1360513327988775,1.6382781152982793e-05,682101.0
418,Lao People's Dem. Rep.,1788558.0,970998.0,-0.4571056683652417,1.5884948143087513e-05,-817560.0
44,Bahamas,503003.0,958012.0,0.9045850621169258,1.5672504928388683e-05,455009.0
275,State of Palestine,856912.0,936293.0,0.09263611666075389,1.5317195042354195e-05,79381.0
548,Vanuatu,491184.0,896192.0,0.824554545750676,1.4661166599982581e-05,405008.0
498,Rep. of Moldova,1197299.0,871744.0,-0.2719078525915415,1.426121190161842e-05,-325555.0
52,Barbados,748116.0,828204.0,0.10705291692732133,1.354892347038578e-05,80088.0
636,"Rest of America, nes",711413.0,752560.0,0.05783841453557925,1.2311432747093135e-05,41147.0
740,Suriname,729672.0,676565.0,-0.07278201712550292,1.1068199873149073e-05,-53107.0
136,Cayman Isds,5393452.0,639507.0,-0.8814289994608276,1.046195309582663e-05,-4753945.0
296,Kiribati,1109366.0,603503.0,-0.4559928824211307,9.872949129862001e-06,-505863.0
8,Albania,719209.0,568342.0,-0.20976795340436505,9.29773614110291e-06,-150867.0
48,Bahrain,120458.0,513955.0,3.26667386142888,8.407997259397592e-06,393497.0
64,Bhutan,809259.0,504638.0,-0.37641966292620777,8.255576696379805e-06,-304621.0
527,"Oceania, nes",346143.0,489323.0,0.4136440719586991,8.00503243077742e-06,143180.0
780,Trinidad and Tobago,295029.0,485107.0,0.6442688684841151,7.936061185346164e-06,190078.0
583,FS Micronesia,446806.0,437289.0,-0.02130007206707163,7.1537872256612224e-06,-9517.0
470,Malta,538212.0,424435.0,-0.21139811078162507,6.943503452233011e-06,-113777.0
96,Brunei Darussalam,966806.0,421916.0,-0.5635980744844364,6.902294114652051e-06,-544890.0
442,Luxembourg,675034.0,370070.0,-0.4517757624060418,6.054124477406129e-06,-304964.0
776,Tonga,2623.0,333114.0,125.99733130003813,5.449546359247346e-06,330491.0
308,Grenada,305699.0,328983.0,0.0761664251436871,5.381965663119141e-06,23284.0
28,Antigua and Barbuda,206344.0,267914.0,0.29838522079634,4.382913246790568e-06,61570.0
533,Aruba,193501.0,262227.0,0.3551712911044387,4.289877318714776e-06,68726.0
108,Burundi,2742382.0,235966.0,-0.913955823805728,3.860263021686748e-06,-2506416.0
748,Eswatini,275491.0,209594.0,-0.2391983767164808,3.4288328308629724e-06,-65897.0
92,Br. Virgin Isds,557343.0,206636.0,-0.6292480573004415,3.3804417151168504e-06,-350707.0
670,Saint Vincent and the Grenadines,82624.0,196495.0,1.3781830945003875,3.214541003561265e-06,113871.0
234,Faroe Isds,,195548.0,,3.199048648384937e-06,
882,Samoa,28458.0,185826.0,5.529833438751845,3.0400025269232072e-06,157368.0
132,Cabo Verde,45071.0,161972.0,2.5937077056200217,2.6497653142768275e-06,116901.0
662,Saint Lucia,119725.0,129147.0,0.07869701399039464,2.112767892246249e-06,9422.0
626,Timor-Leste,184726.0,119842.0,-0.3512445459762026,1.960543642071244e-06,-64884.0
690,Seychelles,45613.0,105255.0,1.307565825532195,1.721909022264388e-06,59642.0
659,Saint Kitts and Nevis,75780.0,71230.0,-0.060042227500659795,1.165280315955464e-06,-4550.0
499,Montenegro,39580.0,41783.0,0.055659423951490705,6.835449591684284e-07,2203.0
796,Turks and Caicos Isds,939777.0,37186.0,-0.9604310384272013,6.083407809787995e-07,-902591.0
795,Turkmenistan,1399004.0,32656.0,-0.9766576793204308,5.342326828280448e-07,-1366348.0
20,Andorra,67429.0,27409.0,-0.5935131768230286,4.483948923209787e-07,-40020.0
60,Bermuda,,25775.0,,4.216636268952981e-07,
226,Equatorial Guinea,845919.0,5313.0,-0.993719256808276,8.691751114237513e-08,-840606.0
674,San Marino,22150.0,4650.0,-0.7900677200902935,7.607122657858918e-08,-17500.0
584,Marshall Isds,17430.0,4104.0,-0.7645438898450947,6.713899223194193e-08,-13326.0
184,Cook Isds,2920.0,2615.0,-0.10445205479452058,4.277984032322811e-08,-305.0
678,Sao Tome and Principe,40000.0,920.0,-0.977,1.5050651280064957e-08,-39080.0
568,"Other Europe, nes",,413.0,,6.756433672463943e-09,
473,"LAIA, nes",724279.0,,,,
577,"Other Africa, nes",562076.0,,,,
585,Palau,38868.0,,,,
798,Tuvalu,740782.0,,,,
