typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,188,CRI,Costa Rica,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,654.0,False,5,u,654.0,False,4020.0,False,0.0,False,,121838.0,121838.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,191,HRV,Croatia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,40344.0,False,5,u,40344.0,False,32972.0,False,0.0,False,,925329.0,925329.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,192,CUB,Cuba,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1460.0,False,5,u,1460.0,False,19248.0,False,0.0,False,,375155.0,375155.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,196,CYP,Cyprus,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1275.0,False,5,u,1275.0,False,3488.0,False,0.0,False,,98730.0,98730.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,203,CZE,Czechia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1563980.0,False,5,u,1563980.0,False,2386220.0,False,0.0,False,,70707712.0,70707712.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,204,BEN,Benin,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6260.0,False,5,u,6260.0,False,133690.0,False,0.0,False,,3132338.0,3132338.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,208,DNK,Denmark,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,97029.0,False,5,u,97029.0,False,142487.0,False,0.0,False,,4197298.0,4197298.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,214,DOM,Dominican Rep.,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,18873.0,False,5,u,18873.0,False,63419.0,False,0.0,False,,1462809.0,1462809.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,218,ECU,Ecuador,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6056.0,False,5,u,6056.0,False,7352.0,False,0.0,False,,225975.0,225975.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,222,SLV,El Salvador,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,409.0,False,5,u,409.0,False,3892.0,False,0.0,False,,116338.0,116338.0,0,True,False
