opportunity_rank,destination_code,destination,export_2024,monthly_cv_2024,active_month_ratio_2024,h2_h1_momentum_2024,growth_2024,export_2023,H1,H2,log_export_2024,growth_log_ratio,momentum_log_ratio,growth_symmetric_2024,momentum_symmetric_2024,cluster,segment,scale_score,growth_score,momentum_score,activity_score,stability_score,market_scale,growth_momentum,growth_quality,size_score,opportunity_score,market_segment,decision_tier
24,862,Venezuela,10764779.0,0.7870738055571329,1.0,0.9900295120443862,5.930023034028302,1553354.0,3600225.0,7164554.0,16.19179025197168,1.9358625861373842,0.6881493306151345,1.4955878459828287,0.6622205620756357,0,加速扩张机会市场,53.299492385786806,93.87755102040816,70.61855670103093,64.54081632653062,60.204081632653065,53.299492385786806,81.97969543147208,62.30964467005076,53.06122448979592,68.99616031979802,高增长机会市场,重点候选
25,116,Cambodia,21986196.0,0.8885938949112288,1.0,1.6851187462193342,1.1472442056859178,10239262.0,5966211.0,16019985.0,16.905925405328233,0.764185202999002,0.9877248475743876,0.7290468299938514,0.9145532951675679,0,加速扩张机会市场,61.92893401015228,76.53061224489795,81.95876288659794,64.54081632653062,56.12244897959184,61.92893401015228,78.93401015228426,60.27918781725889,61.73469387755102,68.91726278140122,高增长机会市场,重点候选
26,699,India,2158380442.0,0.1696682499143657,1.0,0.2097654437221371,-0.0193179930759533,2200897362.0,976746400.0,1181634042.0,21.492623982498287,-0.019507023919683064,0.1904264924766217,-0.019506405377967512,0.18985313062802484,1,成熟核心市场,96.95431472081218,35.714285714285715,47.42268041237113,64.54081632653062,97.44897959183673,96.95431472081218,41.6243654822335,80.83756345177665,96.93877551020408,68.56616873553544,成熟核心市场,重点候选
27,276,Germany,10254026944.0,0.12273587309582265,1.0,0.027040780663312298,0.0983968491177273,9335448251.0,5058618969.0,5195407975.0,23.05093633805949,0.09385170684695865,0.02668163868577622,0.09378287921000121,0.026680055893560952,1,成熟核心市场,99.49238578680203,43.36734693877551,31.958762886597935,64.54081632653062,100.0,99.49238578680203,37.81725888324873,82.10659898477158,99.48979591836735,68.53460972017673,成熟核心市场,重点候选
28,288,Ghana,28610094.0,1.5931601648191265,1.0,1.7226750240294566,1.810988699390948,10177947.0,7685359.0,20924735.0,17.169270185538082,1.0335362084789708,1.0016147794128294,0.9504036050699235,0.925503844901733,0,加速扩张机会市场,65.48223350253807,84.18367346938776,82.4742268041237,64.54081632653062,26.0204081632653,65.48223350253807,82.99492385786802,45.30456852791878,65.3061224489796,67.48974332000842,高增长机会市场,重点候选
29,76,Brazil,469840208.0,0.1772679641178563,1.0,0.030484559082335824,0.1700713609730908,401548336.0,231393145.0,238447063.0,19.96790321401072,0.15706473887242467,0.030029137199814926,0.15674264361226214,0.0300268809688591,1,成熟核心市场,88.83248730964468,51.02040816326531,32.98969072164948,64.54081632653062,96.93877551020408,88.83248730964468,42.13197969543147,80.58375634517766,88.77551020408163,66.98059120555438,成熟核心市场,重点候选
30,512,Oman,8889822.0,0.6981358855987527,1.0,3.0332159270220034,0.8427893050575941,4824112.0,1766231.0,7123591.0,16.000417697280632,0.6112802556218764,1.3945636287095322,0.592931247882628,1.2052794757870293,0,加速扩张机会市场,51.776649746192895,72.95918367346938,87.62886597938144,64.54081632653062,61.224489795918366,51.776649746192895,79.9492385786802,62.817258883248726,51.53061224489795,66.86250788975384,高增长机会市场,重点候选
31,360,Indonesia,439934833.0,0.15997635026786144,1.0,-0.03785346426226603,0.205874829457189,364826284.0,224210998.0,215723835.0,19.902137169362565,0.1872053026139966,-0.03858851568939059,0.1866604820073582,-0.03858372814957346,1,成熟核心市场,87.30964467005076,54.59183673469388,28.865979381443296,64.54081632653062,98.46938775510205,87.30964467005076,41.878172588832484,81.34517766497461,87.24489795918367,66.8191142436356,成熟核心市场,重点候选
32,404,Kenya,44079398.0,0.2113738882028546,1.0,0.26398683253849603,0.2808017486785668,34415473.0,19469812.0,24609586.0,17.601503088414717,0.2474862416308916,0.23427086764791838,0.24623073780196417,0.23320527199577454,1,成熟核心市场,71.57360406091371,58.16326530612245,50.0,64.54081632653062,95.40816326530611,71.57360406091371,54.06091370558376,79.82233502538071,71.42857142857143,66.73469387755102,成熟核心市场,重点候选
33,458,Malaysia,328871806.0,0.23280165365818098,1.0,0.02987203198271203,0.2089985628778035,272020014.0,162016029.0,166855777.0,19.61117858842165,0.18979238230976847,0.02943455355050517,0.1892247160229274,0.029432428756145792,1,成熟核心市场,85.78680203045685,55.10204081632652,32.47422680412371,64.54081632653062,93.87755102040816,85.78680203045685,43.90862944162436,79.06091370558374,85.71428571428571,66.52035556490637,成熟核心市场,重点候选
